rock_hardness,drill_bit_age_hours,mud_pressure_psi,depth_m,drilling_rate_m_per_hr
10,47,1537.3,3306.3,8.25
5,134,1256.9,4632.9,14.4
5,32,948.1,5731.5,10.88
17,110,809.9,3869.9,11.44
10,129,1316.1,5714.3,14.98
10,142,1609.0,5436.4,17.55
19,75,2199.1,4248.8,9.32
10,98,591.7,1600.9,8.56
12,161,2722.9,2451.7,15.84
9,26,2530.9,5125.4,11.91
8,92,1120.5,4963.9,12.44
5,173,2596.5,4398.4,18.8
19,163,1109.0,3265.4,10.3
13,127,2554.6,5838.1,18.01
19,89,2941.4,5397.3,14.92
7,30,2464.6,2058.4,9.02
6,107,642.8,5152.8,11.36
8,102,1479.3,2307.3,8.75
8,103,1771.3,5221.7,14.22
18,161,2969.9,3069.6,17.71
