rock_hardness,drill_bit_age_hours,mud_pressure_psi,depth_m,drilling_rate_m_per_hr
4,152,1518.3,197.5,11.75
7,39,757.5,2534.5,5.59
7,174,2305.3,258.8,13.39
3,155,975.0,1693.2,11.6
5,198,2228.9,2530.3,15.16
9,90,2534.0,232.2,9.36
3,47,2314.4,709.0,10.69
2,106,2797.3,2061.1,13.23
4,127,2017.1,2289.3,12.25
7,196,920.5,2789.6,13.08
2,43,2997.1,2469.1,13.22
10,134,2648.2,787.9,13.54
6,62,777.2,2121.3,8.23
8,199,651.1,1485.1,11.1
3,167,626.0,2187.9,13.74
2,72,2165.4,1391.3,11.85
7,186,851.0,2882.1,14.23
8,182,2387.0,2392.6,15.01
5,62,2955.7,1937.9,11.97
7,187,984.3,2746.1,12.19
4,180,872.2,2011.2,13.45
3,29,532.2,2460.3,6.38
8,15,2312.7,530.6,4.24
4,68,674.9,527.9,3.11
5,32,1069.1,2406.6,7.09
